contentid,contenttypeid,title,addr1,addr2,areacode,sigungucode,mapx,mapy,cat1,cat2,cat3,tel,firstimage,createdtime,modifiedtime,zipcode,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3,firstimage2,cpyrhtDivCd,mlevel
2823059,14,박태준기념관,부산광역시 기장군 임랑해안길 1 박태준기념관,,6,3,129.2612503134,35.3169141022,A02,A0206,A02060200,,http://tong.visitkorea.or.kr/cms/resource/56/2823056_image2_1.jpg,20220608110246,20251204153323,46038,26,710,VE,VE07,VE070200,http://tong.visitkorea.or.kr/cms/resource/56/2823056_image3_1.jpg,Type1,6
2756690,39,박해윤통영해물밥상,부산광역시 동래구 연안로 38,(안락동),6,6,129.1082532132,35.1911614625,A05,A0502,A05020100,,http://tong.visitkorea.or.kr/cms/resource/09/2756909_image2_1.jpg,20211013235438,20250116131744,47905,26,260,FD,FD01,FD010100,http://tong.visitkorea.or.kr/cms/resource/09/2756909_image3_1.jpg,Type3,6
2787408,39,반송187,부산광역시 해운대구 신반송로182번길 2-15 (반송동),,6,16,129.1608948106,35.2291387386,A05,A0502,A05020900,,http://tong.visitkorea.or.kr/cms/resource/53/2792153_image2_1.jpg,20211207200519,20250828101956,48011,26,350,FD,FD05,FD050100,http://tong.visitkorea.or.kr/cms/resource/53/2792153_image3_1.jpg,Type3,6
2875862,38,반송3동골목시장,부산광역시 해운대구 아랫반송로39번길 18-12 신발집,,6,16,129.1503819766,35.2240446703,A04,A0401,A04010200,,http://tong.visitkorea.or.kr/cms/resource/50/2875850_image2_1.JPG,20221026131833,20250704094052,48019,26,350,SH,SH06,SH060200,http://tong.visitkorea.or.kr/cms/resource/50/2875850_image3_1.JPG,Type3,6
2907087,12,반송공원,부산광역시 해운대구 반송순환로 100-53 (반송동),,6,16,117.9925662504,19.6944274800,A02,A0202,A02020700,,http://tong.visitkorea.or.kr/cms/resource/82/2907082_image2_1.JPG,20221114095720,20250828102001,48015,26,350,VE,VE03,VE030400,http://tong.visitkorea.or.kr/cms/resource/82/2907082_image3_1.JPG,Type3,6
130796,14,반여도서관,부산광역시 해운대구 재반로282번길 38,,6,16,129.1338451325,35.2020357183,A02,A0206,A02060900,,http://tong.visitkorea.or.kr/cms/resource/30/3081430_image2_1.JPG,20060418090000,20250414113443,48025,26,350,VE,VE09,VE090300,http://tong.visitkorea.or.kr/cms/resource/30/3081430_image3_1.JPG,Type3,6
2865941,39,밤나무집,부산광역시 기장군 철마면 개좌로 763-25,,6,3,129.1487003269,35.2690173764,A05,A0502,A05020100,,http://tong.visitkorea.or.kr/cms/resource/16/2865916_image2_1.jpg,20221012113502,20250829091345,46049,26,710,FD,FD01,FD010100,http://tong.visitkorea.or.kr/cms/resource/16/2865916_image3_1.jpg,Type3,6
2571959,32,방가방가게스트하우스(풍경집),부산광역시 사하구 감내1로224번길 7,(감천동),6,10,129.0097699096,35.0970840680,B02,B0201,B02011100,,http://tong.visitkorea.or.kr/cms/resource/96/2571096_image2_1.jpg,20181201001216,20251023143000,49365,26,380,AC,AC06,AC060200,http://tong.visitkorea.or.kr/cms/resource/96/2571096_image2_1.jpg,Type3,
2840921,39,방코,부산광역시 강서구 새진목길 51 (명지동),,6,1,128.9222825768,35.1154998440,A05,A0502,A05020200,,http://tong.visitkorea.or.kr/cms/resource/13/2840913_image2_1.jpg,20220822163918,20250605094651,46717,26,440,FD,FD03,FD030200,http://tong.visitkorea.or.kr/cms/resource/13/2840913_image3_1.jpg,Type3,6
2869113,39,배종관동래삼계탕,부산광역시 동래구 동래로116번길 39 (복천동),,6,6,129.0847770907,35.2052983330,A05,A0502,A05020100,,http://tong.visitkorea.or.kr/cms/resource/07/2869107_image2_1.JPG,20221018140526,20250620150549,47809,26,260,FD,FD01,FD010100,http://tong.visitkorea.or.kr/cms/resource/07/2869107_image3_1.JPG,Type3,6
2677748,12,백양산 웰빙숲,부산광역시 사상구 모라동,,6,9,129.0093258839,35.1849381103,A01,A0101,A01010400,,http://tong.visitkorea.or.kr/cms/resource/04/3575804_image2_1.jpg,20201021223142,20251128094618,46930,26,530,NA,NA01,NA010200,http://tong.visitkorea.or.kr/cms/resource/04/3575804_image3_1.jpg,Type1,6
2554111,14,범어사 성보박물관,부산광역시 금정구 범어사로 250,(청룡동),6,2,129.0681152667,35.2839753157,A02,A0206,A02060100,,http://tong.visitkorea.or.kr/cms/resource/18/3342818_image2_1.jpg,20180718022709,20250304172340,46200,26,410,VE,VE07,VE070100,http://tong.visitkorea.or.kr/cms/resource/18/3342818_image3_1.jpg,Type3,6
2708108,12,범일 이중섭거리,부산광역시 동구 범일동,,6,5,129.0521955945,35.1403327856,A02,A0203,A02030600,,http://tong.visitkorea.or.kr/cms/resource/71/3552571_image2_1.jpg,20210304233356,20251023143000,48702,26,170,VE,VE04,VE040100,http://tong.visitkorea.or.kr/cms/resource/71/3552571_image3_1.jpg,Type1,6
309338,12,법륜사(부산),부산광역시 동래구 동래로 160 (칠산동),,6,6,129.0879435276,35.2036235793,A02,A0201,A02010800,,http://tong.visitkorea.or.kr/cms/resource/97/3081197_image2_1.JPG,20071130234546,20250513165123,47810,26,260,HS,HS03,HS030100,http://tong.visitkorea.or.kr/cms/resource/97/3081197_image3_1.JPG,Type3,6
3533137,32,베를리너 하우스,부산광역시 부산진구 전포대로224번길 26 (전포동),2층,6,7,129.0669383150,35.1564645846,B02,B0201,B02011100,,,20250908215716,20250922124918,47303,26,230,AC,AC06,AC060200,,,6
2811461,32,베이몬드호텔,부산광역시 해운대구 해운대해변로209번가길 27,,6,16,129.1567804158,35.1595992286,B02,B0201,B02010100,,http://tong.visitkorea.or.kr/cms/resource/28/2808328_image2_1.png,20220310154145,20250122135930,48093,26,350,AC,AC01,AC010100,http://tong.visitkorea.or.kr/cms/resource/28/2808328_image2_1.png,Type3,6
3028593,32,베이하운드호텔,부산광역시 영도구 태종로65번길 11 (대교동1가),베이하운드호텔,6,14,129.0384647425,35.0931822552,B02,B0201,B02010900,,http://tong.visitkorea.or.kr/cms/resource/73/3028573_image2_1.JPG,20231031120854,20250801161329,49037,26,200,AC,AC04,AC040100,http://tong.visitkorea.or.kr/cms/resource/73/3028573_image3_1.JPG,Type3,6
130668,14,벡스코(BEXCO),부산광역시 해운대구 APEC로 55,,6,16,129.1363347095,35.1691116738,A02,A0206,A02060400,,http://tong.visitkorea.or.kr/cms/resource/55/3020355_image2_1.jpg,20051021090000,20251121143803,48060,26,350,VE,VE07,VE070400,http://tong.visitkorea.or.kr/cms/resource/55/3020355_image3_1.jpg,Type3,6
2840956,39,벨렘351,부산광역시 강서구 대저로299번길 6 (대저1동),,6,1,128.9845550922,35.2115096751,A05,A0502,A05020900,,http://tong.visitkorea.or.kr/cms/resource/33/2840933_image2_1.jpg,20220822164853,20250605095508,46702,26,440,FD,FD05,FD050100,http://tong.visitkorea.or.kr/cms/resource/33/2840933_image3_1.jpg,Type3,6
1607242,12,보광사(부산),부산광역시 동구 범상로1번길 35,,6,5,129.0468821528,35.1408826262,A02,A0201,A02010800,,http://tong.visitkorea.or.kr/cms/resource/04/3552504_image2_1.jpg,20120419204829,20251023143000,48702,26,170,HS,HS03,HS030100,http://tong.visitkorea.or.kr/cms/resource/04/3552504_image3_1.jpg,Type1,6
2789334,12,보람공원,부산광역시 강서구 녹산산단262로14번길 20,(송정동),6,1,128.8432429784,35.0881459047,A02,A0202,A02020700,,http://tong.visitkorea.or.kr/cms/resource/45/3337845_image2_1.jpg,20211208213726,20250318220118,46757,26,440,VE,VE03,VE030100,http://tong.visitkorea.or.kr/cms/resource/45/3337845_image3_1.jpg,Type3,6
2870885,39,보리에 브레드 팩토리,부산광역시 사하구 다송로72번길 50 (다대동),,6,10,128.9816844453,35.0609625943,A05,A0502,A05020900,,http://tong.visitkorea.or.kr/cms/resource/76/2870876_image2_1.jpg,20221019165617,20250829154440,49521,26,380,FD,FD05,FD050100,http://tong.visitkorea.or.kr/cms/resource/76/2870876_image3_1.jpg,Type3,6
2785270,39,복성반점,부산광역시 사하구 하신중앙로 289 (하단동),,6,10,128.9624793993,35.1036769053,A05,A0502,A05020400,,http://tong.visitkorea.or.kr/cms/resource/55/2790955_image2_1.JPG,20211202223831,20250828092951,49428,26,380,FD,FD02,FD020100,http://tong.visitkorea.or.kr/cms/resource/55/2790955_image2_1.JPG,Type3,6
