grid_x,grid_y,lat,lon
1387,880,34.917675,128.82544
1388,880,34.91751,128.83101
1389,880,34.91735,128.83656
1390,880,34.917187,128.84213
1391,880,34.917023,128.8477
1392,880,34.916862,128.85327
1393,880,34.9167,128.85884
1394,880,34.916534,128.86441
1395,880,34.91637,128.86998
1396,880,34.916203,128.87555
1397,880,34.91604,128.88112
1398,880,34.915874,128.88669
1399,880,34.915707,128.89226
1400,880,34.915543,128.89781
1401,880,34.915375,128.90338
1402,880,34.91521,128.90895
1403,880,34.915043,128.91452
1404,880,34.914875,128.92009
1405,880,34.914707,128.92566
1406,880,34.91454,128.93123
1407,880,34.91437,128.9368
1408,880,34.914204,128.94237
1409,880,34.914036,128.94792
1410,880,34.913864,128.95349
1411,880,34.913696,128.95906
1412,880,34.913525,128.96463
1413,880,34.913357,128.9702
1414,880,34.913185,128.97577
1415,880,34.913013,128.98134
1416,880,34.912846,128.98691
1417,880,34.912674,128.99246
1418,880,34.912502,128.99803
1419,880,34.91233,129.0036
1420,880,34.912155,129.00917
1421,880,34.911983,129.01474
1422,880,34.91181,129.02031
1423,880,34.911636,129.02588
1424,880,34.911465,129.03143
1425,880,34.91129,129.037
1426,880,34.911118,129.04257
1427,880,34.910942,129.04814
1428,880,34.910767,129.05371
1429,880,34.91059,129.05928
1430,880,34.910416,129.06483
1431,880,34.91024,129.0704
1432,880,34.910065,129.07597
1433,880,34.90989,129.08154
1434,880,34.90971,129.08711
1435,880,34.909534,129.09268
1436,880,34.909355,129.09824
1437,880,34.90918,129.1038
1438,880,34.909,129.10938
1439,880,34.90882,129.11494
1440,880,34.908646,129.12051
1441,880,34.908466,129.12608
1442,880,34.908287,129.13164
1443,880,34.908108,129.1372
1444,880,34.907925,129.14278
1445,880,34.907745,129.14835
1446,880,34.907566,129.15392
1447,880,34.907383,129.15947
1448,880,34.907204,129.16504
1449,880,34.90702,129.17061
1450,880,34.90684,129.17618
1451,880,34.90666,129.18175
1452,880,34.906475,129.1873
1453,880,34.906292,129.19287
1454,880,34.90611,129.19844
1455,880,34.905926,129.20401
1456,880,34.905743,129.20958
1457,880,34.90556,129.21513
1458,880,34.905373,129.2207
1459,880,34.90519,129.22627
1460,880,34.905003,129.23184
1461,880,34.90482,129.2374
1462,880,34.904633,129.24297
1463,880,34.904446,129.24854
1464,880,34.90426,129.2541
